year;page;title;average_score;votes;price;categories;author;publisher;cover_type;publication_year;num_pages;format;code
2016;1;Montessori. Asocieri: Obiecte si intrebuintarea lor;4.9;14;11.92;Practic Pentru Copii;null;GAMA;Cartonata;2016;50;90x60;GAM978-973-149-641-2
2016;1;Puterea prezentului. Ed.6 - Eckhart Tolle;4.8;27 de;36;Dezvoltare Spirituala;Eckhart Tolle;CURTEA VECHE;Necartonata;2016;264;200 x 130 x 17 mm;CVE978-606-588-858-6
2016;1;Montessori. Vocabular: Corpul uman;5;8;11.92;Carti, materiale Montessori, Practic Pentru Copii;null;GAMA;Necartonata;2016;50;90x60;GAM978-973-149-644-3
2016;1;Jocuri pentru copii inteligenti. Carte de activitati +6 ani;4.9;13;14.992;Carti cu activitati;Autor Anonim;ARAMIS;Necartonata;2016;null;280 x 210 mm;ARA978-606-706-389-9
2016;1;Fise interdisciplinare pentru clasa pregatitoare - activitati integrate - Adina Grigore;5;15;12.75;Culegeri Auxiliare;Livia-Loredana Olteanu, Adina Grigore, Cristina Ipate-Toma, Elena-Otilia Tiroiu;ARS LIBRI;Necartonata;2016;80;300 x 210 mm;ARS978-606-574-762-3
2016;1;Ortograme. Partea I. Clasa 2-3;4.8;5;8.4;Culegeri Auxiliare;Autor Anonim;GAMA;Necartonata;2016;32;230 x 165 x 2 mm;GAM978-973-149-657-3
2016;1;Mandale. Carte de colorat pentru adulti;4.9;28 de;22.492;Meditative Arts, Arta;null;ARAMIS;Necartonata;2016;null;235 x 220 x 7 mm;ARA978-606-706-401-8
2016;1;Ce sunt marile piramide? - Doroty si Thomas Hoobler;5;2;12.5;Atlase, enciclopedii copii, Cultura Generala;Doroty Si Thomas Hoobler;PANDORA;Necartonata;2016;112;195 x 130 mm;PAN978-606-8780-90-0
2016;1;Literatura romana. Modele de compuneri. Evaluare nationala - Clasa 8 - Neluta Anghel;4.8;12;15.3;Culegeri Auxiliare;Anghel Neluta;ARS LIBRI;Necartonata;2016;85;290 x 200 mm;ARS978-606-574-980-1
2016;1;Montessori. Asocieri: Notiuni opuse;5;6;11.92;Carti, materiale Montessori, Practic Pentru Copii;null;GAMA;Cartonata;2016;50;90x60;GAM978-973-149-640-5
2016;1;Povesti - Ioan Slavici;5;1;11.242;Povesti, basme, legende;Ioan Slavici;ARAMIS;Necartonata;2016;256;200 x 120 x 17 mm;ARA978-606-706-339-4
2016;1;Constelatiile familiale - Bert Hellinger;3.9;21 de;38.4;Psihologie, psihanaliza, logica;Bert Hellinger;PHILOBIA;Necartonata;2016;216;200 x 130 mm;PHI978-606-8560-29-8
2016;1;Gramatica: Partile de vorbire - Clasa 3-4;5;4;8.4;Culegeri Auxiliare;Autor Anonim;GAMA;Necartonata;2016;32;240 x 170 mm;GAM978-973-149-659-7
2016;1;Lupul de stepa (Rao Clasic) - Hermann Hesse;4.8;17;28.16;Literatura clasica, Literatura germana;Hermann Hesse;RAO;Cartonata;2016;272;185 x 110 mm;RAO978-606-776-073-6
2016;1;Caietul prescolarului istet Grupa mare sem.1 - Gheorghita Dorobantu;5;3;21.85;Carte Prescolara, Joc;Gheorghita Dorobantu;SIGMA;Necartonata;2016;76;290 x 210 mm;SIG978-606-727-182-9
2016;1;365 de povesti fabuloase;3.6;5;59.992;Povesti, basme, legende;null;ARAMIS;Cartonata;2016;142;280 x 220 mm;ARA978-606-706-462-9
2016;1;Momente si schite. Teatru si nuvele - I.l. Caragiale;4.9;9;13.3;Literatura Romana;Ion Luca Caragiale;EDUARD;Necartonata;2016;464;200 x 130 mm;EDU978-606-571-434-2
2016;1;Doua milioane de kilometri in cautarea adevarului - Klaus Kenneth;5;3;35;Carte Ortodoxa;Klaus Kenneth;AGNOS;Necartonata;2016;312;200 x 130 mm;AGN973-1801-05-6*
2016;1;Invatam sa vorbim - Titus Stirbu;5;1;15;Practic Pentru Copii;Titus Stirbu;BIBLION;Cartonata;2016;10;150x110;BIB978-9975-111-46-1
2016;1;Memorator de fizica - Clasele 6-8 - Emilia Poll;5;7;14;Culegeri Auxiliare;Emilia Poll;BOOKLET;Necartonata;2016;94;160 x 110 mm;BOO978-606-590-311-1
2016;1;Motive florale. Carte de colorat pentru adulti;4.9;10;22.492;Meditative Arts, Arta;Autor Anonim;ARAMIS;Necartonata;2016;48;235 x 220 x 5 mm;ARA978-606-706-400-1
2016;1;Teste pentru asistentii medicali - Liliana Rogozea;4;4;55;Medicina;Liliana Rogozea;EDITURA CREATOR;Necartonata;2016;132;295 x 205 x 8 mm;LIB978-606-8814-15-5
2016;1;Montessori. Vocabular: Masini utilitare;5;6;11.92;Practic Pentru Copii, Carti, materiale Montessori;null;GAMA;Cartonata;2016;50;90 x 60 mm;GAM978-973-149-601-6
2016;1;Tarantula - Bob Dylan;3.2;6;11.05;Literatura contemporana;Bob Dylan;HUMANITAS;Necartonata;2016;160;200 x 130 mm;HUM978-973-689-830-3
2016;1;Cum sa scrii o compunere - Clasa 4 - Madalina Stan, Florentina Ionita;4.8;4;26.9;Culegeri Auxiliare;Madalina Stan, Florentina Ionita;BOOKLET;Necartonata;2016;96;280 x 200 mm;BOO978-606-590-449-1
2016;1;Cunoaste-l pe... Mihai Eminescu;0;0;15.6;Carti educative;null;GAMA;Necartonata;2016;24;220x220;GAM978-606-8248-13-4
2016;1;Corpul meu - Sunt mic si vreau sa aflu;5;5;14.992;Carti educative, Practic Pentru Copii;null;ARAMIS;Cartonata;2016;22;110 x 100 mm;ARA978-606-706-424-7
2016;2;Povesti de noapte buna;5;3;39.2;Literatura Universala;null;GAMA;Cartonata;2016;92;230 x 230 mm;GAM978-973-149-598-9
2016;2;Cine a fost regina Elisabeta? - June Eding;4.8;4;9.5;Atlase, enciclopedii copii, Cultura Generala;June Eding;PANDORA;Necartonata;2016;109;195 x 130 mm;PAN978-606-8780-56-6
2016;2;Bucuria de a scrie compuneri - Marcela Penes, Celina Iordache;4.6;10;14.992;Culegeri Auxiliare;Celina Iordache, Marcela Penes;ARAMIS;Necartonata;2016;112;240 x 165 x 5 mm;ARA978-973-679-951-8
2016;2;Cipi, acest pitic urias - Fodor Sandor;4.8;4;39.5;Literatura Romana;Fodor Sandor;AGORA;Necartonata;2016;164;230 x 200 mm;AGO978-606-8391-31-1
2016;2;Poezii alese - Mihai Eminescu;5;1;14.88;Literatura Romana;Mihai Eminescu;ANDREAS;Necartonata;2016;224;200 x 130 mm;ADR973-8958-44-9
2016;2;Ugly Love. Despre fata urata a iubirii - Colleen Hoover;4.2;73 de;37.425;Literatura Universala, Romane de dragoste, Romane de dragoste, Carti romantice;Colleen Hoover;EPICA;Necartonata;2016;352;210 x 130 mm;EPC978-606-8754-07-9
2016;2;Daca nu veneai Tu... - Maria Pastourmadzis;5;23 de;15;Literatura Universala;Maria Pastourmadzis;EGUMENITA;Necartonata;2016;224;200 x 130 x 11 mm;EGU978-606-550-216-1
2016;2;Domnu Trandafir si alte povestiri - Mihail Sadoveanu;5;15;51.5;Literatura Romana;Mihail Sadoveanu;MIHAIL SADOVEANU;Necartonata;2016;167;240 x 170;MSA978-606-93954-5-5
2016;2;Iepurasul istet invata matematica - Clasa pregatitoare - Carmen Trandafirescu;4.7;7;12;Culegeri Auxiliare;Carmen Trandafirescu;CARMINIS;Necartonata;2016;null;240 x 170 mm;CAM978-973-123-295-9
2016;2;Ghidul complet al plantelor medicinale si al bolilor pe care le vindeca - David Hoffmann;4.7;12;89;Terapii Alternative;David Hoffmann;LIFESTYLE;Necartonata;2016;407;210x190;LFS978-606-8566-72-6
2016;2;Mate: Adunarea si scaderea in concentrul 0-100. Clasa 1;4.5;8;8.4;Culegeri Auxiliare;null;GAMA;Necartonata;2016;32;230 x 170 x 2 mm;GAM978-973-149-654-2
2016;2;Ne pregatim pentru concursuri - Clasa 3 - Daniela Dulica, Camelia Sima;0;0;25;Culegeri Auxiliare;Daniela Dulica, Camelia Sima;CARMINIS;Necartonata;2016;72;260 x 205 x 4 mm;CAM978-973-123-323-9
2016;2;Oameni sarmani - F.M. Dostoievski;4.5;4;25.155;Literatura rusa, Literatura clasica, Literatura Universala;F. M. Dostoievski;POLIROM;Necartonata;2016;208;180 x 110 mm;POL978-973-46-1907-8
2016;2;English Grammar. Theory and Practice Vol 1+2+3 - Constantin Paidos;5;10;71.25;Engleza;Constantin Paidos;POLIROM;Necartonata;2016;510;235 x 160 mm;POL978-973-46-5462-8
2016;2;Don Quijote de la Mancha Vol.1+2 - Miguel de Cervantes;5;4;61.75;Literatura spaniola, Literatura clasica;Miguel de Cervantes;POLIROM;Necartonata;2016;1424;180 x 100 x 60 mm;POL978-973-46-6064-3
2016;2;Oliver Twist - Charles Dickens;4.7;3;22.492;Povesti, basme, legende, Literatura Universala;Charles Dickens;ARAMIS;Cartonata;2016;240;200 x 140;ARA978-606-706-299-1
2016;2;Un fel de jurnal (1973-1981) - Matei Calinescu;4.6;9;10;Memorii Jurnal;Matei Calinescu;HUMANITAS;Necartonata;2016;180;200 x 130 mm;HUM978-973-50-5374-1
2016;2;Montessori. Ordonare: Transformari din lumea vie;5;6;11.92;Carti, materiale Montessori, Practic Pentru Copii;Autor Anonim;GAMA;Necartonata;2016;50;90 x 60 x 20 mm;GAM978-973-149-643-6
2016;2;Viata si opiniile lui Zacharias Lichter - Matei Calinescu;5;4;10;Literatura Romana, Literatura contemporana;Matei Calinescu;HUMANITAS;null;2016;160;200 x 130 mm;HUM978-973-50-5171-6
2016;2;Livada de visini. Trei surori - A.P. Cehov;5;3;25.602;Literatura rusa, Literatura clasica;Anton Pavlovici Cehov;POLIROM;Necartonata;2016;216;180 x 110 mm;POL978-973-46-5860-2
2016;2;Lux Vol.4: Origin - Jennifer L. Armentrout;5;1;20;SF & Fantasy, Carti pentru adolescenti, Young Adult, Romane Fantasy;Jennifer L. Armentrout;LEDA;Necartonata;2016;432;200 x 130 mm;LED978-606-8723-77-8
2016;2;Da mai departe - Catherine Ryan Hyde;4.8;8;49;Literatura Universala;Catherine Ryan Hyde;PANDORA;Necartonata;2016;272;200 x 130 mm;PAN978-606-8780-22-1
2016;2;Bastarda Istanbulului - Elif Shafak;4.9;15;47.453;Literatura contemporana, Literatura Universala, Literatura engleza, Literatura turca;Elif Shafak;POLIROM;Necartonata;2016;376;200 x 130 mm;POL978-973-46-6073-5
2016;2;Pinguinul care voia sa afle mai multe - Jill Tomlinson;4.9;31 de;27.992;Literatura Universala;Jill Tomlinson;NEMIRA;Necartonata;2016;88;200 x 130 x 8 mm;NEM978-606-758-715-9
2016;2;56 De Jetoane: Invatam Tabla Inmultirii (7 Ani+);4.6;8;18.9;Culegeri Auxiliare;null;DIDACTICA PUBLISHING HOUSE;null;2016;null;120 x 80 mm;DPH978-606-683-262-5
2016;2;Invataturile lui Neagoe Basarab catre fiul Sau Teodosie Ed.2016;5;1;22.8;Literatura Romana;Neagoe Basarab;GRAMAR;Necartonata;2016;254;200 x 130 mm;GRA978-606-695-072-5
2016;2;Puterea obisnuintei - Charles Duhigg;5;3;65;Sociologie;Charles Duhigg;PUBLICA;Necartonata;2016;472;200 x 140 mm;PUB978-606-722-198-5
2016;2;Fotograful Curtii Regale - Simona Antonescu;4.4;5;31.455;Literatura contemporana, Literatura Romana;Simona Antonescu;POLIROM;Necartonata;2016;424;180 x 100 mm;POL978-973-46-6118-3
2016;2;Spre Romania (2000-2002). Jurnal inedit - Matei Calinescu;4.2;4;10;Memorii Jurnal;Matei Calinescu;HUMANITAS;Necartonata;2016;160;200 x 130 mm;HUM978-973-50-5474-8
2016;2;Odiseea - Homer;5;1;11.992;Literatura Universala;Homer;LITERA;Necartonata;2022;240;200 x 130 x 15 mm;LIT978-606-33-8980-1
2016;2;Manualul razboinicului luminii - Paulo Coelho;5;5;27.55;Literatura Universala, Literatura braziliana;Paulo Coelho;HUMANITAS;Necartonata;2016;152;200 x 130 mm;HUM978-606-779-109-9
2016;2;Pinocchio (benzi desenate) - Carlo Collodi, Serban Andreescu;4.7;7;11.242;Benzi Desenate;Serban Andreescu, Carlo Collodi;ARAMIS;Necartonata;2016;32;245 x 160 x 3 mm;ARA978-606-706-497-1
2016;2;Montessori. Vocabular: Fructe exotice;5;2;11.92;Carti, materiale Montessori, Practic Pentru Copii;null;GAMA;Necartonata;2016;50;90 x 60 mm;GAM978-973-149-603-0
2016;2;Intoarcerea la iubire - Marianne Williamson;5;2;35.15;Dezvoltare Spirituala;Marianne Williamson;VIDIA;Necartonata;2016;286;200 x 130 mm;VID978-606-8414-45-4
2016;2;Balta alba - Vasile Alecsandri;4.5;2;16;Literatura Romana;Vasile Alecsandri;ASTRO;Necartonata;2016;304;null;ATR978-606-8660-00-4
2016;2;Cel mai vestit vanzator din lume - Og Mandino;4.8;6;28;Dezvoltarea Afacerilor;Og Mandino;CURTEA VECHE;Necartonata;2016;203;200 x 130 mm;CVE978-606-588-700-8
2016;2;Ce stiu cu adevarat - Oprah Winfrey;4;5;17.5;Dezvoltare Spirituala;Oprah Winfrey;LIFESTYLE;Necartonata;2016;192;200 x 130 mm;LFS978-606-789-000-6
2016;2;Mandale. Mediteaza si coloreaza;0;0;18.905;Arta;Autor Anonim;DIDACTICA PUBLISHING HOUSE;Necartonata;2016;56;230 x 210 mm;DPH978-606-8743-21-9
2016;3;CD Tu esti placebo meditatia 1 - Joe Dispenza;4.7;6;28;Practic;Joe Dispenza;ACT SI POLITON;null;2016;null;190 x 140 mm;APO978-606-8637-82-2
2016;3;Al cincilea munte - Paulo Coelho;4;3;32.3;Literatura Universala, Literatura braziliana;Paulo Coelho;HUMANITAS;Necartonata;2016;224;200 x 130 mm;HUM978-606-779-107-5
2016;3;Numerologie si destin - Valeriu Panoiu;5;13;35.34;Numerologie;Valeriu Panoiu;FOR YOU;Necartonata;2016;222;200 x 140 mm;FOR978-606-639-129-0
2016;3;Postul negru, o noua terapie - Thierry de Lestrade;5;11;38.4;Terapii Alternative;Thierry De Lestrade;PHILOBIA;Necartonata;2016;288;200 x 130 mm;PHI978-606-8560-25-0
2016;3;Experimente stiintifice pentru copii;5;10;22.492;Atlase, enciclopedii copii;null;ARAMIS;Necartonata;2016;96;280 x 210 mm;ARA978-606-706-421-6
2016;3;Scriere: Semne grafice si scrierea literelor de mana. Clasa pregatitoare-Clasa 1;5;5;8.4;Culegeri Auxiliare;null;GAMA;Necartonata;2016;32;230 x 165 x 2 mm;GAM978-973-149-665-8
2016;3;Invierea - Lev Tolstoi;4.9;7;33.203;Literatura Universala, Literatura rusa;Lev Tolstoi;POLIROM;Necartonata;2016;566;180 x 110 mm;POL978-973-46-6361-3
2016;3;Cunoaste-l pe... Alexandru Ioan Cuza;5;1;15.6;Carti educative;null;GAMA;Necartonata;2016;24;220x220;GAM978-606-8248-19-6
2016;3;Grit. Puterea pasiunii si a perseverentei - Angela Duckworth;4.7;3;65;Dezvoltare Profesionala;Angela Duckworth;PUBLICA;Necartonata;2016;380;200 x 140;PUB978-606-722-205-0
2016;3;Tortul de clatite - Sven Nordqvist;5;16;35;Literatura Universala;Sven Nordqvist;PANDORA;Necartonata;2016;32;300 x 210;PAN978-6206-8780-77-
2016;3;Agonie si extaz. Vol.1+2 - Irving Stone;4.9;19;47.453;Literatura contemporana;Irving Stone;POLIROM;Necartonata;2016;1016;180 x 110 x 58 mm;POL978-973-46-5975-3
2016;3;Dex - dictionar explicativ al limbii romane;5;9;261.25;Dictionare Romana;null;UNIVERS ENCICLOPEDIC;Cartonata;2016;1376;270 x 210 x 63 mm;UNE978-606-7041-61-3
2016;3;Love si Gelato. Vacanta la Florenta - Jenna Evans Welch;4.4;9;36.675;Romane de dragoste, Romane de dragoste, Carti romantice, Literatura Universala;Jenna Evans Welch;EPICA;Necartonata;2016;352;200 x 140 mm;EPC978-606-8754-15-4
2016;3;500 Stickere. Dinozauri si animele preistorice;5;3;15.9;Practic Pentru Copii;null;UNICART;Necartonata;2016;12;290 x 200 mm;UNC978-606-576-391-3
2016;3;Memorator matematica - Clasa 5-8 - Petre Simion, Victor Nicolae;4.6;11;15.92;Culegeri Auxiliare;Petre Simion, Victor Nicolae;NICULESCU;Necartonata;2016;86;140 x 100 mm;NIC978-973-748-974-6
2016;3;Ciuleandra - Liviu Rebreanu;0;0;18;Literatura Romana;Liviu Rebreanu;LIVIU REBREANU;Necartonata;2023;160;200 x 130 x 10 mm;CAR978-973-1898-86-5
2016;3;Dictionar ilustrat de Fizica;5;3;45.6;Ingineri, Matematica, Fizica, Chimie, Electronica;null;DIDACTICA PUBLISHING HOUSE;Necartonata;2016;128;240 x 170 mm;DPH978-606-683-316-5
2016;3;Memorator de psihologie pentru liceu - Maria Halmaghi;5;2;14;Culegeri Auxiliare;Maria Halmaghi;BOOKLET;Necartonata;2016;111;160 x 110 mm;BOO978-606-590-319-7
2016;3;Dulceata de caise - Alexandr Soljenitin;5;2;41.8;Literatura rusa, Literatura contemporana;Alexandr Soljenitin;UNIVERS;Necartonata;2016;352;200 x 130 mm;UNI978-606-771-038-0
2016;3;Pescarusul. Unchiul Vanea - A.P. Cehov;4.7;3;23.703;Literatura rusa, Literatura clasica, Literatura Universala;Anton Pavlovici Cehov;POLIROM;Necartonata;2016;192;180 x 110 mm;POL978-973-46-5861-9
2016;3;Pisicile Razboinice Vol.2: Foc si gheata - Erin Hunter;5;6;53.91;Literatura Fantasy, Literatura Universala;Erin Hunter;ALL;Necartonata;2016;352;200 x 130 x 29 mm;GAC978-606-8434-05-6
2016;3;Intre lumi. Convorbiri cu Nicolae Steinhardt - Nicolae Baciut;4.8;5;29;Carte Ortodoxa;Nicolae Baciut;EDITURA CREATOR;Necartonata;2016;162;210 x 150 mm;LIB978-606-8814-08-7
2016;3;Pasari fantastice. Carte de colorat pentru adulti;5;3;22.492;Meditative Arts, Arta;null;ARAMIS;Necartonata;2016;48;235 x 220 x 5 mm;ARA978-606-706-399-9
2016;3;Atlas scolar. Corpul uman;4;2;40;Atlase Enciclopedii;null;CD PRESS;Cartonata;2016;null;290 x 220 x 6 mm;CDP978-606-528-357-2
2016;3;ABC de nutritie - Dr. Mihaela Bilic;4.6;5;48;Diete;Mihaela Bilic;CURTEA VECHE;Necartonata;2016;112;250 x 190 mm;CVE978-606-588-852-4
2016;3;Oamenii fericiti citesc si beau cafea - Agnes Martin-Lugand;4.5;83 de;45;Romane de dragoste, Romane de dragoste, Carti romantice, Literatura franceza;Agnes Martin-Lugand;TREI;Necartonata;2016;170;200 x 130 mm;TRE978-606-719-640-5
2016;3;Gorila care voia sa se faca mare - Jill Tomlinson;4.5;11;27.992;Literatura Universala;Jill Tomlinson;NEMIRA;Necartonata;2016;104;200 x 130 mm;NEM978-606-758-714-2
2016;3;Povesti - H.Ch. Andersen;5;1;11.242;Povesti, basme, legende, Literatura Universala;Hans Christian Andersen;ARAMIS;Necartonata;2016;256;200 x 120 mm;ARA978-606-706-355-4
2016;3;Dictionar de expresii uzuale - Franceza - Carmen Voiculescu;5;1;14;Franceza;Carmen Voiculescu;BOOKLET;Necartonata;2016;126;160 x 110 mm;BOO978-606-590-337-1
2016;3;800 de retete secrete pentru sanatate - Thierry Robert;5;3;30;Diete;Thierry Robert;LIVINGSTONE;Necartonata;2016;184;200 x 130;LIV978-606-8545-21-9
2016;3;Carte de capatai pentru calugari si mireni - Arhimandrit Ioan (Krestiankin);5;1;35;Carte Ortodoxa;Arhimandrit Ioan Krestiankin;EGUMENITA;Necartonata;2016;462;200 x 130 mm;EGU978-606-550-206-2
2016;3;Cunoaste-l pe... Mihai Viteazul;5;1;15.6;Carti educative;null;GAMA;Necartonata;2016;24;220x220;GAM978-606-8248-22-6
2016;3;Carte de rugaciuni - scris mare;4.8;6;30.24;Carte Ortodoxa;null;INSTITUTUL BIBLIC;Cartonata;2016;460;170 x 120 mm;IBM978-973-616-464-5
2016;3;Pilotand in ploaie. Viata mea de catel - Garth Stein;5;6;39;Literatura Universala;Garth Stein;BOOKLET;Necartonata;2016;237;210 x 150 mm;BOO978-606-590-317-3
2016;3;Scriere: Grupuri de litere. Clasa 1. Clasa 2;5;3;8.4;Culegeri Auxiliare;Autor Anonim;GAMA;Necartonata;2016;32;230 x 170 mm;GAM978-973-149-660-3
2016;4;Razboi si pace. Vol. I + II - Lev Tolstoi;5;2;70.125;Literatura clasica;Lev Tolstoi;CORINT;Necartonata;2016;1785;200 x 130;COR978-606-793-036-8
2016;4;Psihologia varstelor - Tinca Cretu;5;1;56.05;Psihologie, psihanaliza, logica;Tinca Cretu;POLIROM;Necartonata;2016;392;200 x 130 mm;POL978-973-46-6008-7
2016;4;Memorator de logica pentru liceu - Magda Ilas;5;1;14;Culegeri Auxiliare;Magda Ilas;BOOKLET;Necartonata;2016;92;160 x 110 x 5 mm;BOO978-606-590-324-1
2016;4;Memorator de istorie universala - Clasa 9 - Mihaela Nancu;5;1;14;Culegeri Auxiliare;Mihaela Nancu;BOOKLET;Necartonata;2016;160;160 x 110 x 7 mm;BOO978-606-590-332-6
2016;4;Memorator de istorie universala - Clasa 10 - Mihaela Nancu;5;1;14;Culegeri Auxiliare;Mihaela Nancu;BOOKLET;Necartonata;2016;160;160 x 110 x 7 mm;BOO978-606-590-333-3
2016;4;Cunoaste-l pe... Ion Creanga;0;0;15.6;Carti educative;null;GAMA;Necartonata;2016;24;220x220;GAM978-606-8248-14-1
2016;4;Anatomia si fiziologia omului - Mircea Nedea, Nita Nedea;0;0;74.812;Culegeri Auxiliare;Mircea Nedea, Nita Nedea;MERIDIANE PUBLISHING;Necartonata;2016;222;285 x 205 mm;ANI978-606-742-114-9
2016;4;Lupul si cei 7 iezi - Stiu sa citesc cu litere mari de tipar;5;2;11.242;Povesti, basme, legende;Fratii Grimm;ARAMIS;Necartonata;2016;31;300 x 210;ARA978-606-706-361-5
2016;4;Dumnezeu s-a nascut in exil - Vintila Horia;4.8;4;32.3;Literatura Romana;Vintila Horia;VREMEA;Necartonata;2016;248;200 x 130;VRE978-973-645-797-5
2016;4;Impreuna la bine si la greu - Harville Hendrix, Helen LaKelly Hunt;4;2;38;Psihologia relatiilor. Psihologia cuplului, Psihologie Practica;Harville Hendrix, Helen Lakelly Hunt;PAGINA DE PSIHOLOGIE;Necartonata;2016;208;200 x 130;PDP978-606-93990-1-9
2016;4;Limba si literatura romana in scoala primara - Alina Pamfil;5;4;39.2;Pedagogie Metodica;Alina Pamfil;GRUPUL EDITORIAL ART;Cartonata;2016;380;240 x 170;ART978-606-710-419-6
2016;4;Memorator de filosofie pentru liceu - Adrian Tiglea;5;1;14;Culegeri Auxiliare;Adrian Tiglea;BOOKLET;Necartonata;2016;128;160 x 110 x 8 mm;BOO978-606-590-457-6
2016;4;Vanatorii de fantome - Cornelia Funke;5;9;36;Literatura Universala;Cornelia Funke;BOOKLET;Necartonata;2016;142;200 x 150 mm;BOO978-606-590-432-3
2016;4;Charlie Ciocolata si cartea lui preferata - Julia Donaldson, Axel Scheffler;5;3;39;Literatura Universala;Julia Donaldson, Axel Scheffler;CARTEA COPIILOR;Cartonata;2016;36;260 x 200;CCO978-606-8544-24-3
2016;4;Sfarsit de secol romanesc. Decadentismul literar si ideea de decadenta - Adrian Ciubotaru;5;2;10;Litere Critica Literara;Adrian Ciubotaru;STIINTA;Necartonata;2016;200;205 x 140 x 12;STI978-9975-85-274-6
2016;4;Pisicile Razboinice Vol.4: Furtuna - Erin Hunter;5;7;58.41;Literatura Fantasy, Literatura Universala;Erin Hunter;ALL;Necartonata;2016;336;200 x 130 mm;GAC978-606-8578-55-2
2016;4;Logopedia - Carolina Bodea Hategan;5;3;75;Psihologie, psihanaliza, logica;Carolina Bodea Hategan;TREI;Necartonata;2016;640;205 x 145 mm;TRE978-606-719-722-8
2016;4;Cartea clanului din Baltimore - Joel Dicker;4.9;7;59;Carti politiste, Literatura Universala;Joel Dicker;TREI;Necartonata;2016;488;200 x 130 mm;TRE978-606-719-760-0
2016;4;Geografie cls 9 caiet - Dumitru Rus;5;1;24.99;Culegeri Auxiliare;Dumitru Rus;CD PRESS;Necartonata;2016;56;280 x 210 mm;CDP978-606-528-308-4
2016;4;Factorul de atractie - Joe Vitale;0;0;35;Dezvoltare Spirituala;Joe Vitale;METEOR PRESS;Necartonata;2016;320;200 x 130 x 19 mm;MET978-973-728-819-6
2016;4;Arta de a iubi - Erich Fromm;4.7;3;45;Psihologie Practica, Psihologia relatiilor. Psihologia cuplului;Erich Fromm;TREI;Necartonata;2016;184;200 x 130 mm;TRE978-606-40-0751-3
2016;4;425 de greseli frecvente in limba romana - Petcu Abdulea;5;4;32.9;Culegeri Auxiliare;Petcu Abdulea;BOOKLET;Necartonata;2016;176;260 x 205 x 9 mm;BOO978-606-590-304-3
2016;4;Memorator de sociologie pentru liceu - Adrian Tiglea;4.5;2;12;Culegeri Auxiliare;Adrian Tiglea;BOOKLET;Necartonata;2016;128;160 x 110 x 7 mm;BOO978-606-590-458-3
2016;4;Conspiratia - Dan Brown;4.8;6;29.75;Carti thriller;Dan Brown;RAO;Necartonata;2016;512;180 x 105 x 31 mm;RAO973-103-117-0
2016;4;Mica Biblie;5;4;72.24;Carti Pentru Copii;null;INSTITUTUL BIBLIC;Cartonata;2016;606;240 x 170;IBM978-973-616-451-4
2016;4;Jamila Cuisine - Geanina Staicu-Avram;5;13;48;Bucatarie;Geanina Staicu-Avram;CURTEA VECHE;Necartonata;2016;228;210 x 160 mm;CVE978-606-588-902-6
2016;4;Cunoaste-l pe... Stefan cel Mare;5;1;15.6;Carti educative;null;GAMA;Necartonata;2016;24;220x220;GAM978-606-8248-21-9
2016;4;Kinetoterapia pe intelesul tuturor - Elena Engrich;5;2;68.25;Medicina;Elena Engrich;MEDICALA;Necartonata;2016;171;230x170;MED978-973-39-0722-1
2016;4;Am o surioara! - Catherine Leblanc, Eve Tharlet;5;2;30.4;Literatura Universala;Catherine Leblanc, Eve Tharlet;DIDACTICA PUBLISHING HOUSE;Cartonata;2016;26;290x220;DPH978-606-683-331-8
2016;4;Strada Sardinelor - John Steinbeck;4.5;2;21.802;Literatura americana, Literatura contemporana;John Steinbeck;POLIROM;Necartonata;2016;254;180 x 110 mm;POL978-973-46-6020-9
2016;4;Scurta istorie a viitorului - Jacques Attali;5;1;37.953;Politica;Jacques Attali;POLIROM;Necartonata;2016;296;180 x 100 mm;POL978-973-46-6167-1
2016;4;Artistul lui Dumnezeu - Maria Pastourmadzis;4.8;4;14;Carti Pentru Copii;Maria Pastourmadzis;EGUMENITA;Necartonata;2016;48;235 x 165 x 3 mm;EGU978-606-550-256-7
2016;4;Contractul social - Jean Jacques Rousseau;5;3;19;Filosofie Universala;Jean-Jacques Rousseau;GRAMAR;Necartonata;2016;182;200 x 140;GRA978-606-695-035-0
2016;4;Teste de evaluare. Comunicare in limba romana - Clasa 2 - Aurelia Seulean, Marioara Minculescu, Elena Oltean;0;0;15;Culegeri Auxiliare;Aurelia Seulean, Marioara Minculescu, Elena Oltean;KREATIV;Necartonata;2016;48;270 x 200 x 3 mm;KRE978-606-646-376-8
2016;4;Mama mamutilor mahmuri. Elefanti cu rochite si alte povestiri - Mircea Santimbreanu;5;1;19.9;Literatura Romana;Mircea Santimbreanu;AGORA;Necartonata;2016;120;240 x 170 mm;AGO978-606-8391-29-8
2016;4;Parenting. Cum sa crestem copii inteligenti emotional - John Gottman, Joan DeClaire;4.6;5;42;Educatie Psihologie;John Gottman, Joan Declaire;PAGINA DE PSIHOLOGIE;Necartonata;2016;288;200 x 130 mm;PDP978-606-94680-2-9
2016;4;Povestea noului nume - Elena Ferrante;4.7;12;59;Literatura italiana;Elena Ferrante;PANDORA;Necartonata;2016;488;200 x 130 x 30 mm;PAN978-606-8780-39-9
